,storyline,cast
The Shawshank Redemption (1994),"Chronicles the experiences of a formerly successful banker as a prisoner in the gloomy jailhouse of Shawshank after being found guilty of a crime he did not commit. The film portrays the man's unique way of dealing with his new, torturous life; along the way he befriends a number of fellow prisoners, most notably a wise long-term inmate named Red.","{'Andy Dufresne': 'Tim Robbins', ""Ellis Boyd 'Red' Redding"": 'Morgan Freeman', 'Warden Norton': 'Bob Gunton', 'Heywood': 'William Sadler', 'Captain Hadley': 'Clancy Brown'}"
Daeboo (1972),"The Godfather ""Don"" Vito Corleone is the head of the Corleone mafia family in New York. He is at the event of his daughter's wedding. Michael, Vito's youngest son and a decorated WW II Marine is also present at the wedding. Michael seems to be uninterested in being a part of the family business. Vito is a powerful man, and is kind to all those who give him respect but is ruthless against those who do not. But when a powerful and treacherous rival wants to sell drugs and needs the Don's influence for the same, Vito refuses to do it. What follows is a clash between Vito's fading old values and the new ways which may cause Michael to do the thing he was most reluctant in doing and wage a mob war against all the other mafia families which could tear the Corleone family apart.","{'Don Vito Corleone': 'Marlon Brando', 'Michael': 'Al Pacino', 'Sonny': 'James Caan', 'Clemenza': 'Richard S. Castellano', 'Tom Hagen': 'Robert Duvall'}"
Soorarai Pottru (2020),"Inspired by the book 'Simply Fly', the film tells the story of Nedumaaran Rajangam known to friends as Maara, the son of a teacher, who sets out to make the common man fly and takes on the most capital intensive industry in the world with the help of his friends, family and sheer will power.","{'Nedumaaran Rajangam': 'Suriya', 'Paresh Goswami': 'Paresh Rawal', 'Sundari': 'Aparna Balamurali', 'Pechi': 'Urvashi', 'Prakash Babu': 'Prakash Belawadi'}"
The Dark Knight (2008),"Set within a year after the events of Batman Begins (2005), Batman, Lieutenant James Gordon, and new District Attorney Harvey Dent successfully begin to round up the criminals that plague Gotham City, until a mysterious and sadistic criminal mastermind known only as ""The Joker"" appears in Gotham, creating a new wave of chaos. Batman's struggle against The Joker becomes deeply personal, forcing him to ""confront everything he believes"" and improve his technology to stop him. A love triangle develops between Bruce Wayne, Dent, and Rachel Dawes.","{'Bruce Wayne': 'Christian Bale', 'Joker': 'Heath Ledger', 'Harvey Dent': 'Aaron Eckhart', 'Alfred': 'Michael Caine', 'Rachel': 'Maggie Gyllenhaal'}"
The Godfather: Part II (1974),"The continuing saga of the Corleone crime family tells the story of a young Vito Corleone growing up in Sicily and in 1910s New York; and follows Michael Corleone in the 1950s as he attempts to expand the family business into Las Vegas, Hollywood and Cuba.","{'Michael': 'Al Pacino', 'Tom Hagen': 'Robert Duvall', 'Kay': 'Diane Keaton', 'Vito Corleone': 'Robert De Niro', 'Fredo Corleone': 'John Cazale'}"
12 Angry Men (1957),"The defense and the prosecution have rested, and the jury is filing into the jury room to decide if a young man is guilty or innocent of murdering his father. What begins as an open-and-shut case of murder soon becomes a detective story that presents a succession of clues creating doubt, and a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, AND each other. Based on the play, all of the action takes place on the stage of the jury room.","{'Juror 1': 'Martin Balsam', 'Juror 2': 'John Fiedler', 'Juror 3': 'Lee J. Cobb', 'Juror 4': 'E.G. Marshall', 'Juror 5': 'Jack Klugman'}"
The Lord of the Rings: The Return of the King (2003),"The film is set in the Nazi-occupied Croatian Ustasha regime ""NDH"" in former Yugoslavia during WWII. The film is told through the experiences of a little girl named Dara who is sent as a child during the Holocaust in the Balkans to the infamous extermination camp complex Jasenovac, also known as ""Balkan's Auschwitz"", when it was ruled by sadistic camp commander Maks Luburic until the liberation. The film is the first modern WWII movie that takes place in or shows this NDH era camp.","{'Dara Ilic': 'Biljana Cekic', 'Mile Ilic': 'Zlatan Vidovic', 'Nada Ilic': 'Anja Stanic', 'Bude Ilic': 'Jakov Saranovic'}"
Pulp Fiction (1994),"The final confrontation between the forces of good and evil fighting for control of the future of Middle-earth. Frodo and Sam reach Mordor in their quest to destroy the One Ring, while Aragorn leads the forces of good against Sauron's evil army at the stone city of Minas Tirith.","{'Everard Proudfoot': 'Noel Appleby', 'Elanor Gamgee': 'Ali Astin', 'Sam': 'Sean Astin', 'Gondorian Soldier 3': 'David Aston', 'Madril': 'John Bach'}"
Schindler's List (1993),"Jules Winnfield (Samuel L. Jackson) and Vincent Vega (John Travolta) are two hit men who are out to retrieve a suitcase stolen from their employer, mob boss Marsellus Wallace (Ving Rhames). Wallace has also asked Vincent to take his wife Mia (Uma Thurman) out a few days later when Wallace himself will be out of town. Butch Coolidge (Bruce Willis) is an aging boxer who is paid by Wallace to lose his fight. The lives of these seemingly unrelated people are woven together comprising of a series of funny, bizarre and uncalled-for incidents.","{'Pumpkin': 'Tim Roth', 'Honey Bunny': 'Amanda Plummer', 'Waitress': 'Laura Lovelace', 'Vincent Vega': 'John Travolta', 'Jules Winnfield': 'Samuel L. Jackson'}"
Inception (2010),"Oskar Schindler is a vain and greedy German businessman who becomes an unlikely humanitarian amid the barbaric German Nazi reign when he feels compelled to turn his factory into a refuge for Jews. Based on the true story of Oskar Schindler who managed to save about 1100 Jews from being gassed at the Auschwitz concentration camp, it is a testament to the good in all of us.","{'Oskar Schindler': 'Liam Neeson', 'Itzhak Stern': 'Ben Kingsley', 'Amon Goeth': 'Ralph Fiennes', 'Emilie Schindler': 'Caroline Goodall', 'Poldek Pfefferberg': 'Jonathan Sagall'}"
Dara iz Jasenovca (2020),"Dom Cobb is a skilled thief, the absolute best in the dangerous art of extraction, stealing valuable secrets from deep within the subconscious during the dream state, when the mind is at its most vulnerable. Cobb's rare ability has made him a coveted player in this treacherous new world of corporate espionage, but it has also made him an international fugitive and cost him everything he has ever loved. Now Cobb is being offered a chance at redemption. One last job could give him his life back but only if he can accomplish the impossible, inception. Instead of the perfect heist, Cobb and his team of specialists have to pull off the reverse: their task is not to steal an idea, but to plant one. If they succeed, it could be the perfect crime. But no amount of careful planning or expertise can prepare the team for the dangerous enemy that seems to predict their every move. An enemy that only Cobb could have seen coming.","{'Cobb': 'Leonardo DiCaprio', 'Arthur': 'Joseph Gordon-Levitt', 'Ariadne': 'Elliot Page', 'Eames': 'Tom Hardy', 'Saito': 'Ken Watanabe'}"
Fight Club (1999),"Based on the life of Captain Vikram Batra who was an officer of the Indian Army, posthumously awarded with the Param Vir Chakra, India's highest and most prestigious award for valour, for his actions during the 1999 Kargil War in Kashmir between India and Pakistan.","{'Capt. Vikram Batra / Vishal Batra': 'Sidharth Malhotra', 'Dimple Cheema': 'Kiara Advani', 'Capt. Sanjeev Jamwal': 'Shiv Panditt', 'Rifleman Yashpal': 'Pranay Pachauri', 'Rifleman Meher Singh': 'Atul Singh Verma'}"
The Lord of the Rings: The Fellowship of the Ring (2001),"A nameless first person narrator (Edward Norton) attends support groups in attempt to subdue his emotional state and relieve his insomniac state. When he meets Marla (Helena Bonham Carter), another fake attendee of support groups, his life seems to become a little more bearable. However when he associates himself with Tyler (Brad Pitt) he is dragged into an underground fight club and soap making scheme. Together the two men spiral out of control and engage in competitive rivalry for love and power.","{'The Narrator': 'Edward Norton', 'Tyler Durden': 'Brad Pitt', ""Robert 'Bob' Paulsen"": 'Meat Loaf', 'Richard Chesler': 'Zach Grenier', 'Intern': 'Richmond Arquette'}"
Forrest Gump (1994),"An ancient Ring thought lost for centuries has been found, and through a strange twist of fate has been given to a small Hobbit named Frodo. When Gandalf discovers the Ring is in fact the One Ring of the Dark Lord Sauron, Frodo must make an epic quest to the Cracks of Doom in order to destroy it. However, he does not go alone. He is joined by Gandalf, Legolas the elf, Gimli the Dwarf, Aragorn, Boromir, and his three Hobbit friends Merry, Pippin, and Samwise. Through mountains, snow, darkness, forests, rivers and plains, facing evil and danger at every corner the Fellowship of the Ring must go. Their quest to destroy the One Ring is the only hope for the end of the Dark Lords reign.","{'Voice of the Ring': 'Alan Howard', 'Everard Proudfoot': 'Noel Appleby', 'Sam': 'Sean Astin', 'Sauron': 'Sala Baker', 'Boromir': 'Sean Bean'}"
"Il buono, il brutto, il cattivo (1966)","Forrest Gump is a simple man with a low I.Q. but good intentions. He is running through childhood with his best and only friend Jenny. His 'mama' teaches him the ways of life and leaves him to choose his destiny. Forrest joins the army for service in Vietnam, finding new friends called Dan and Bubba, he wins medals, creates a famous shrimp fishing fleet, inspires people to jog, starts a ping-pong craze, creates the smiley, writes bumper stickers and songs, donates to people and meets the president several times. However, this is all irrelevant to Forrest who can only think of his childhood sweetheart Jenny Curran, who has messed up her life. Although in the end all he wants to prove is that anyone can love anyone.","{'Forrest Gump': 'Tom Hanks', 'Nurse at Park Bench': 'Rebecca Williams', 'Mrs. Gump': 'Sally Field', 'Young Forrest': 'Michael Conner Humphreys', 'Doctor': 'Harold G. Herthum'}"
Shershaah (2021),"Blondie (The Good) (Clint Eastwood) is a professional gunslinger who is out trying to earn a few dollars. Angel Eyes (The Bad) (Lee Van Cleef) is a hitman who always commits to a task and sees it through, as long as he is paid to do so. And Tuco (The Ugly) (Eli Wallach) is a wanted outlaw trying to take care of his own hide. Tuco and Blondie share a partnership together making money off of Tuco's bounty, but when Blondie unties the partnership, Tuco tries to hunt down Blondie. When Blondie and Tuco come across a horse carriage loaded with dead bodies, they soon learn from the only survivor, Bill Carson (Antonio Casale), that he and a few other men have buried a stash of gold in a cemetery. Unfortunately, Carson dies and Tuco only finds out the name of the cemetery, while Blondie finds out the name on the grave. Now the two must keep each other alive in order to find the gold. Angel Eyes (who had been looking for Bill Carson) discovers that Tuco and Blondie met with Carson and knows they know the location of the gold. All he needs is for the two to lead him to it. Now The Good, the Bad and the Ugly must all battle it out to get their hands on two hundred thousand dollars worth of gold.","{'Tuco': 'Eli Wallach', 'Blondie': 'Clint Eastwood', 'Sentenza / Angel Eyes': 'Lee Van Cleef', 'Alcoholic Union Captain': 'Aldo Giuffrè', 'Father Pablo Ramirez': 'Luigi Pistilli'}"
The Lord of the Rings: The Two Towers (2002),"The continuing quest of Frodo and the Fellowship to destroy the One Ring. Frodo and Sam discover they are being followed by the mysterious Gollum. Aragorn, the Elf archer Legolas, and Gimli the Dwarf encounter the besieged Rohan kingdom, whose once great King Theoden has fallen under Saruman's deadly spell.","{'Aldor': 'Bruce Allpress', 'Sam': 'Sean Astin', 'Madril': 'John Bach', 'Man Flesh Uruk': 'Sala Baker', 'Galadriel': 'Cate Blanchett'}"
The Matrix (1999),"Thomas A. Anderson is a man living two lives. By day he is an average computer programmer and by night a hacker known as Neo. Neo has always questioned his reality, but the truth is far beyond his imagination. Neo finds himself targeted by the police when he is contacted by Morpheus, a legendary computer hacker branded a terrorist by the government. As a rebel against the machines, Neo must confront the agents: super-powerful computer programs devoted to stopping Neo and the entire human rebellion.","{'Neo': 'Keanu Reeves', 'Morpheus': 'Laurence Fishburne', 'Trinity': 'Carrie-Anne Moss', 'Agent Smith': 'Hugo Weaving', 'Oracle': 'Gloria Foster'}"
Goodfellas (1990),"Henry Hill might be a small time gangster, who may have taken part in a robbery with Jimmy Conway and Tommy De Vito, two other gangsters who might have set their sights a bit higher. His two partners could kill off everyone else involved in the robbery, and slowly start to think about climbing up through the hierarchy of the Mob. Henry, however, might be badly affected by his partners' success, but will he consider stooping low enough to bring about the downfall of Jimmy and Tommy? —Colin Tinto <cst@imdb.com>","{'James Conway': 'Robert De Niro', 'Henry Hill': 'Ray Liotta', 'Tommy DeVito': 'Joe Pesci', 'Karen Hill': 'Lorraine Bracco', 'Paul Cicero': 'Paul Sorvino'}"
Star Wars: Episode V - The Empire Strikes Back (1980),"Luke Skywalker, Han Solo, Princess Leia and Chewbacca face attack by the Imperial forces and its AT-AT walkers on the ice planet Hoth. While Han and Leia escape in the Millennium Falcon, Luke travels to Dagobah in search of Yoda. Only with the Jedi Master's help will Luke survive when the Dark Side of the Force beckons him into the ultimate duel with Darth Vader.","{'Luke Skywalker': 'Mark Hamill', 'Han Solo': 'Harrison Ford', 'Princess Leia': 'Carrie Fisher', 'Lando Calrissian': 'Billy Dee Williams', 'C-3PO': 'Anthony Daniels'}"
One Flew Over the Cuckoo's Nest (1975),"McMurphy has a criminal past and has once again gotten himself into trouble and is sentenced by the court. To escape labor duties in prison, McMurphy pleads insanity and is sent to a ward for the mentally unstable. Once here, McMurphy both endures and stands witness to the abuse and degradation of the oppressive Nurse Ratched, who gains superiority and power through the flaws of the other inmates. McMurphy and the other inmates band together to make a rebellious stance against the atrocious Nurse.","{'Ellis': 'Michael Berryman', 'Col. Matterson': 'Peter Brocco', 'Dr. Spivey': 'Dean R. Brooks', 'Miller': 'Alonzo Brown', 'Turkle': 'Scatman Crothers'}"
Gisaengchung (2019),"The Kims - mother and father Chung-sook and Ki-taek, and their young adult offspring, son Ki-woo and daughter Ki-jung - are a poor family living in a shabby and cramped half basement apartment in a busy lower working class commercial district of Seoul. Without even knowing it, they, especially Mr. and Mrs. Kim, literally smell of poverty. Often as a collective, they perpetrate minor scams to get by, and even when they have jobs, they do the minimum work required. Ki-woo is the one who has dreams of getting out of poverty by one day going to university. Despite not having that university education, Ki-woo is chosen by his university student friend Min, who is leaving to go to school, to take over his tutoring job to Park Da-hye, who Min plans to date once he returns to Seoul and she herself is in university. The Parks are a wealthy family who for four years have lived in their modernistic house designed by and the former residence of famed architect Namgoong. While Mr. and Mrs. Park are all about status, Mrs. Park has a flighty, simpleminded mentality and temperament, which Min tells Ki-woo to feel comfortable in lying to her about his education to get the job. In getting the job, Ki-woo further learns that Mrs. Park is looking for an art therapist for the Parks' adolescent son, Da-song, Ki-woo quickly recommending his professional art therapist friend ""Jessica"", really Ki-jung who he knows can pull off the scam in being the easiest liar of the four Kims. In Ki-woo also falling for Da-hye, he begins to envision himself in that house, and thus the Kims as a collective start a plan for all the Kims, like Ki-jung using assumed names, to replace existing servants in the Parks' employ in orchestrating reasons for them to be fired. The most difficult to get rid of may be Moon-gwang, the Parks' housekeeper who literally came with the house - she Namgoong's housekeeper when he lived there - and thus knows all the little nooks and crannies of it better than the Parks themselves. The question then becomes how far the Kims can take this scam in their quest to become their version of the Parks.","{'Ki Taek': 'Kang-ho Song', 'Dong Ik': 'Sun-kyun Lee', 'Yeon Kyo': 'Yeo-jeong Cho', 'Ki Woo': 'Woo-sik Choi', 'Ki Jung': 'So-dam Park'}"
Drishyam 2 (2021),"Six years after the terrible event that almost destroyed his family, Georgekutty is the proud owner of a movie theater and aspiring to write and produce his own hit film. Yet his wife Rani is ill at ease. She worries about Georgekutty, who's taken out a loan and started drinking. She worries about her daughters; Anju suffers epileptic fits and cowers in fear at the sound of a passing police siren, and young Anu's growing independence takes her away from her mother's watchful eyes. Even more worrying, the neighbors have started to gossip and the police have remained relentless in unearthing George's darkest secret. When someone from the past returns to the village, can Georgekutty save his family a second time? —L. Hamre","{'Georgekutty': 'Mohanlal', 'Rani': 'Meena', 'Anju': 'Ansiba', 'Anu': 'Esther Anil', 'Prabhakar': 'Siddique'}"
Interstellar (2014),"Earth's future has been riddled by disasters, famines, and droughts. There is only one way to ensure mankind's survival: Interstellar travel. A newly discovered wormhole in the far reaches of our solar system allows a team of astronauts to go where no man has gone before, a planet that may have the right environment to sustain human life.","{'Murph': 'Mackenzie Foy', 'Cooper': 'Matthew McConaughey', 'Donald': 'John Lithgow', 'Tom': 'Timothée Chalamet'}"
Cidade de Deus (2002),"Brazil, 1960s, City of God. The Tender Trio robs motels and gas trucks. Younger kids watch and learn well...too well. 1970s: Li'l Zé has prospered very well and owns the city. He causes violence and fear as he wipes out rival gangs without mercy. His best friend Bené is the only one to keep him on the good side of sanity. Rocket has watched these two gain power for years, and he wants no part of it. he keeps getting swept up in the madness. All he wants to do is take pictures. 1980s: Things are out of control between the last two remaining gangs...will it ever end? Welcome to the City of God.","{'Buscapé - Rocket': 'Alexandre Rodrigues', ""Zé Pequeno - Li'l Zé"": 'Leandro Firmino', 'Bené - Benny': 'Phellipe Haagensen', ""Dadinho - Li'l Dice"": 'Douglas Silva', 'Cabeleira - Shaggy': 'Jonathan Haagensen'}"
Sen to Chihiro no kamikakushi (2001),"Chihiro and her parents are moving to a small Japanese town in the countryside, much to Chihiro's dismay. On the way to their new home, Chihiro's father makes a wrong turn and drives down a lonely one-lane road which dead-ends in front of a tunnel. Her parents decide to stop the car and explore the area. They go through the tunnel and find an abandoned amusement park on the other side, with its own little town. When her parents see a restaurant with great-smelling food but no staff, they decide to eat and pay later. However, Chihiro refuses to eat and decides to explore the theme park a bit more. She meets a boy named Haku who tells her that Chihiro and her parents are in danger, and they must leave immediately. She runs to the restaurant and finds that her parents have turned into pigs. In addition, the theme park turns out to be a town inhabited by demons, spirits, and evil gods. At the center of the town is a bathhouse where these creatures go to relax. The owner of the bathhouse is the evil witch Yubaba, who is intent on keeping all trespassers as captive workers, including Chihiro. Chihiro must rely on Haku to save her parents in hopes of returning to their world.","{'Chihiro Ogino / Sen': 'Rumi Hiiragi', 'Haku': 'Miyu Irino', 'Yubaba / Zeniba': 'Mari Natsuki', 'Akio Ogino': 'Takashi Naitô', 'Yûko Ogino': 'Yasuko Sawaguchi'}"
Saving Private Ryan (1998),"Opening with the Allied invasion of Normandy on 6 June 1944, members of the 2nd Ranger Battalion under Cpt. Miller fight ashore to secure a beachhead. Amidst the fighting, two brothers are killed in action. Earlier in New Guinea, a third brother is KIA. Their mother, Mrs. Ryan, is to receive all three of the grave telegrams on the same day. The United States Army Chief of Staff, George C. Marshall, is given an opportunity to alleviate some of her grief when he learns of a fourth brother, Private James Ryan, and decides to send out 8 men (Cpt. Miller and select members from 2nd Rangers) to find him and bring him back home to his mother...","{'Captain Miller': 'Tom Hanks', 'Sergeant Horvath': 'Tom Sizemore', 'Private Reiben': 'Edward Burns', 'Private Jackson': 'Barry Pepper', 'Private Mellish': 'Adam Goldberg'}"
The Green Mile (1999),"Death Row guards at a penitentiary, in the 1930's, have a moral dilemma with their job when they discover one of their prisoners, a convicted murderer, has a special gift.","{'Paul Edgecomb': 'Tom Hanks', ""Brutus 'Brutal' Howell"": 'David Morse', 'Jan Edgecomb': 'Bonnie Hunt', 'John Coffey': 'Michael Clarke Duncan', 'Warden Hal Moores': 'James Cromwell'}"
La vita è bella (1997),"In 1930s Italy, a carefree Jewish waiter named Guido starts a fairy tale life by courting and marrying a lovely woman from a nearby city. Guido and his wife have a son and live happily together until the occupation of Italy by German forces. In an attempt to hold his family together and help his son survive the horrors of a Jewish Concentration Camp, Guido imagines that the Holocaust is a game and that the grand prize for winning is a tank.","{'Guido': 'Roberto Benigni', 'Dora': 'Nicoletta Braschi', 'Giosué': 'Giorgio Cantarini', 'Zio': 'Giustino Durano', 'Ferruccio': 'Sergio Bini Bustric'}"
Se7en (1995),"A film about two homicide detectives' (Morgan Freeman and Brad Pitt) desperate hunt for a serial killer who justifies his crimes as absolution for the world's ignorance of the Seven Deadly Sins. The movie takes us from the tortured remains of one victim to the next as the sociopathic ""John Doe"" (Kevin Spacey) sermonizes to Detectives Somerset and Mills -- one sin at a time. The sin of Gluttony comes first and the murderer's terrible capacity is graphically demonstrated in the dark and subdued tones characteristic of film noir. The seasoned and cultured but jaded Somerset researches the Seven Deadly Sins in an effort to understand the killer's modus operandi while the bright but green and impulsive Detective Mills (Pitt) scoffs at his efforts to get inside the mind of a killer...","{'Somerset': 'Morgan Freeman', 'Dead Man at 1st Crime Scene': 'Andrew Kevin Walker', 'Detective Taylor at First Murder': 'Daniel Zacapa', 'Mills': 'Brad Pitt', 'Tracy': 'Gwyneth Paltrow'}"
The Silence of the Lambs (1991),"F.B.I. trainee Clarice Starling (Jodie Foster) works hard to advance her career, while trying to hide or put behind her West Virginia roots, of which if some knew, would automatically classify her as being backward or white trash. After graduation, she aspires to work in the agency's Behavioral Science Unit under the leadership of Jack Crawford (Scott Glenn). While she is still a trainee, Crawford asks her to question Dr. Hannibal Lecter (Sir Anthony Hopkins), a psychiatrist imprisoned, thus far, for eight years in maximum security isolation for being a serial killer who cannibalized his victims. Clarice is able to figure out the assignment is to pick Lecter's brains to help them solve another serial murder case, that of someone coined by the media as ""Buffalo Bill"" (Ted Levine), who has so far killed five victims, all located in the eastern U.S., all young women, who are slightly overweight (especially around the hips), all who were drowned in natural bodies of water, and all who were stripped of large swaths of skin. She also figures that Crawford chose her, as a woman, to be able to trigger some emotional response from Lecter. After speaking to Lecter for the first time, she realizes that everything with him will be a psychological game, with her often having to read between the very cryptic lines he provides. She has to decide how much she will play along, as his request in return for talking to him is to expose herself emotionally to him. The case takes a more dire turn when a sixth victim is discovered, this one from who they are able to retrieve a key piece of evidence, if Lecter is being forthright as to its meaning. A potential seventh victim is high profile Catherine Martin (Brooke Smith), the daughter of Senator Ruth Martin (Diane Baker), which places greater scrutiny on the case as they search for a hopefully still alive Catherine. Who may factor into what happens is Dr. Frederick Chilton (Anthony Heald), the warden at the prison, an opportunist who sees the higher profile with Catherine, meaning a higher profile for himself if he can insert himself successfully into the proceedings.","{'Clarice Starling': 'Jodie Foster', 'FBI Instructor': 'Lawrence A. Bonney', 'Ardelia Mapp': 'Kasi Lemmons', 'Agent Burroughs': 'Lawrence T. Wrentz', 'Jack Crawford': 'Scott Glenn'}"
Star Wars (1977),"The Imperial Forces, under orders from cruel Darth Vader, hold Princess Leia hostage in their efforts to quell the rebellion against the Galactic Empire. Luke Skywalker and Han Solo, captain of the Millennium Falcon, work together with the companionable droid duo R2-D2 and C-3PO to rescue the beautiful princess, help the Rebel Alliance and restore freedom and justice to the Galaxy.","{'Luke Skywalker': 'Mark Hamill', 'Han Solo': 'Harrison Ford', 'Princess Leia Organa': 'Carrie Fisher', 'Grand Moff Tarkin': 'Peter Cushing', 'Ben Obi-Wan Kenobi': 'Alec Guinness'}"
Seppuku (1962),"Peace in 17th-century Japan causes the Shogunate's breakup of warrior clans, throwing thousands of samurai out of work and into poverty. An honorable end to such fate under the samurai code is ritual suicide, or hara-kiri (self-inflicted disembowelment). An elder warrior, Hanshiro Tsugumo (Tatsuya Nakadai) seeks admittance to the house of a feudal lord to commit the act. There, he learns of the fate of his son-in-law, a young samurai who sought work at the house but was instead barbarically forced to commit traditional hara-kiri in an excruciating manner with a dull bamboo blade. In flashbacks the samurai tells the tragic story of his son-in-law, and how he was forced to sell his real sword to support his sick wife and child. Tsugumo thus sets in motion a tense showdown of revenge against the house.","{'Hanshiro Tsugumo': 'Tatsuya Nakadai', 'Motome Chijiiwa': 'Akira Ishihama', 'Miho Tsugumo': 'Shima Iwashita', 'Hikokuro Omodaka': 'Tetsurô Tanba', 'Tango Inaba': 'Masao Mishima'}"
Shichinin no samurai (1954),"A veteran samurai, who has fallen on hard times, answers a village's request for protection from bandits. He gathers 6 other samurai to help him, and they teach the townspeople how to defend themselves, and they supply the samurai with three small meals a day. The film culminates in a giant battle when 40 bandits attack the village.","{'Kikuchiyo': 'Toshirô Mifune', 'Kambei Shimada': 'Takashi Shimura', 'Shino': 'Keiko Tsushima', 'Wife': 'Yukiko Shimazaki', 'Farmer Manzo': 'Kamatari Fujiwara'}"
It's a Wonderful Life (1946),"George Bailey has spent his entire life giving of himself to the people of Bedford Falls. He has always longed to travel but never had the opportunity in order to prevent rich skinflint Mr. Potter from taking over the entire town. All that prevents him from doing so is George's modest building and loan company, which was founded by his generous father. But on Christmas Eve, George's Uncle Billy loses the business's $8,000 while intending to deposit it in the bank. Potter finds the misplaced money and hides it from Billy. When the bank examiner discovers the shortage later that night, George realizes that he will be held responsible and sent to jail and the company will collapse, finally allowing Potter to take over the town. Thinking of his wife, their young children, and others he loves will be better off with him dead, he contemplates suicide. But the prayers of his loved ones result in a gentle angel named Clarence coming to earth to help George, with the promise of earning his wings. He shows George what things would have been like if he had never been born.","{'George Bailey': 'James Stewart', 'Mary Hatch': 'Donna Reed', 'Mr. Potter': 'Lionel Barrymore', 'Uncle Billy': 'Thomas Mitchell', 'Clarence': 'Henry Travers'}"
Whiplash (2014),"Circumstances force Arun, an aspiring film director, to take up the job of a Sub Inspector after his father passes away. While Arun faces issues in adjusting to the lifestyle of a police officer, a series of mysterious murders of school going girls happen in the city.","{'Arun': 'Vishnu Vishal', 'Viji': 'Amala Paul', 'Inspector Rajamanickam': 'Radha Ravi', ""Arun's Houseowner"": 'Sangili Murugan', ""Arun's Brother-in-law"": 'Munishkanth'}"
The Intouchables (2011),"Nineteen year old Andrew Niemann wants to be the greatest jazz drummer in the world, in a league with Buddy Rich. This goal is despite not coming from a pedigree of greatest, musical or otherwise, with Jim, his high school teacher father, being a failed writer. Andrew is starting his first year at Shaffer Conservatory of Music, the best music school in the United States. At Shaffer, being the best means being accepted to study under Terence Fletcher and being asked to play in his studio band, which represents the school at jazz competitions. Based on their less than positive first meeting, Andrew is surprised that Fletcher asks him to join the band, albeit in the alternate drummer position which he is more than happy to do initially. Andrew quickly learns that Fletcher operates on fear and intimidation, never settling for what he considers less than the best each and every time. Being the best in Fletcher's mind does not only entail playing well, but knowing that you're playing well and if not what you're doing wrong. His modus operandi creates an atmosphere of fear and of every man or woman for him/herself within the band. Regardless, Andrew works hard to be the best. He has to figure out his life priorities and what he is willing to sacrifice to be the best. The other question becomes how much emotional abuse he will endure by Fletcher to reach that greatness, which he may believe he can only achieve with the avenues opened up by Fletcher.","{'Andrew': 'Miles Teller', 'Fletcher': 'J.K. Simmons', 'Jim Neimann': 'Paul Reiser', 'Nicole': 'Melissa Benoist', 'Ryan': 'Austin Stowell'}"
The Prestige (2006),"In Paris, the aristocratic and intellectual Philippe is a quadriplegic millionaire who is interviewing candidates for the position of his carer, with his red-haired secretary Magalie. Out of the blue, Driss cuts the line of candidates and brings a document from the Social Security and asks Phillipe to sign it to prove that he is seeking a job position so he can receive his unemployment benefit. Philippe challenges Driss, offering him a trial period of one month to gain experience helping him. Then Driss can decide whether he would like to stay with him or not. Driss accepts the challenge and moves to the mansion, changing the boring life of Phillipe and his employees.","{'Philippe': 'François Cluzet', 'Driss': 'Omar Sy', 'Yvonne': 'Anne Le Ny', 'Magalie': 'Audrey Fleurot', 'La DRH société de courses': 'Joséphine de Meaux'}"
The Departed (2006),"In the end of the nineteenth century, in London, Robert Angier, his beloved wife Julia McCullough, and Alfred Borden are friends and assistants of a magician. When Julia accidentally dies during a performance, Robert blames Alfred for her death, and they become enemies. Both become famous and rival magicians, sabotaging the performance of the other on the stage. When Alfred performs a successful trick, Robert becomes obsessed trying to disclose the secret of his competitor with tragic consequences.","{'Robert Angier': 'Hugh Jackman', 'Alfred Borden': 'Christian Bale', 'Cutter': 'Michael Caine', 'Julia McCullough': 'Piper Perabo', 'Sarah': 'Rebecca Hall'}"
The Pianist (2002),"In this crime-action tour de force, the South Boston state police force is waging war on Irish-American organized crime. Young undercover cop Billy Costigan is assigned to infiltrate the mob syndicate run by gangland chief Frank Costello. While Billy quickly gains Costello's confidence, Colin Sullivan, a hardened young criminal who has infiltrated the state police as an informer for the syndicate is rising to a position of power in the Special Investigation Unit. Each man becomes deeply consumed by their double lives, gathering information about the plans and counter-plans of the operations they have penetrated. But when it becomes clear to both the mob and the police that there is a mole in their midst, Billy and Colin are suddenly in danger of being caught and exposed to the enemy - and each must race to uncover the identity of the other man in time to save themselves. But is either willing to turn on their friends and comrades they've made during their long stints undercover? —Anonymous","{'Billy': 'Leonardo DiCaprio', 'Colin': 'Matt Damon', 'Costello': 'Jack Nicholson', 'Dignam': 'Mark Wahlberg', 'Queenan': 'Martin Sheen'}"
